task_id,variant,text,voice,language_code,filename,dictation_text
G12-002,v1,Дутуу үсгийг нөхөж бичээрэй.,Kore,mn-MN,prompt_G12-002-v1.mp3,
G12-002,v2,Дутуу үсгийг нөхөж бичээрэй.,Kore,mn-MN,prompt_G12-002-v2.mp3,
G12-002,v3,Дутуу үсгийг нөхөж бичээрэй.,Kore,mn-MN,prompt_G12-002-v3.mp3,
G12-004,v1,"""Дулаахан гэр."" — дутуу үсгийг нөхөж бичээрэй.",Kore,mn-MN,prompt_G12-004-v1.mp3,
G12-004,v2,"""Цас орлоо."" — дутуу үсгийг нөхөж бичээрэй.",Kore,mn-MN,prompt_G12-004-v2.mp3,
G12-004,v3,"""Мал бэлчинэ."" — дутуу үсгийг нөхөж бичээрэй.",Kore,mn-MN,prompt_G12-004-v3.mp3,
G12-005,v2,Урт болон богино эгшгийг анхаарч зөв хэлбэрийг сонгоорой.,Kore,mn-MN,prompt_G12-005-v2.mp3,
G12-005,v3,Урт болон богино эгшгийг анхаарч зөв хэлбэрийг сонгоорой.,Kore,mn-MN,prompt_G12-005-v3.mp3,
G12-007,v1,Дутуу балархай эгшгийг нөхөж бичээрэй.,Kore,mn-MN,prompt_G12-007-v1.mp3,
G12-009,v1,Дараах өгүүлбэрт алдаа байна. Зөв засаарай.,Kore,mn-MN,prompt_G12-009-v1.mp3,
G12-009,v2,Дараах өгүүлбэрт алдаа байна. Зөв засаарай.,Kore,mn-MN,prompt_G12-009-v2.mp3,
G12-009,v3,Дараах өгүүлбэрт алдаа байна. Зөв засаарай.,Kore,mn-MN,prompt_G12-009-v3.mp3,
G12-011,v1,Дараах үгэнд алдаа байна. Зөв засаарай.,Kore,mn-MN,prompt_G12-011-v1.mp3,
G12-011,v2,Дараах үгэнд алдаа байна. Зөв засаарай.,Kore,mn-MN,prompt_G12-011-v2.mp3,
G12-012,v2,Өмнөх даалгаврын хариугаа загвартай харьцуул.,Kore,mn-MN,prompt_G12-012-v2.mp3,
G12-014,v1,Үгийн сүүлийн үсгийг нөхөж бичээрэй.,Kore,mn-MN,prompt_G12-014-v1.mp3,
G12-014,v2,Үгийн сүүлийн үсгийг нөхөж бичээрэй.,Kore,mn-MN,prompt_G12-014-v2.mp3,
G12-014,v3,Үгийн сүүлийн үсгийг нөхөж бичээрэй.,Kore,mn-MN,prompt_G12-014-v3.mp3,
G24-010,v2,Хоосон зайг нөхөөрэй: Шув_у тэнгэрт нисэв.,Kore,mn-MN,prompt_G24-010-v2.mp3,
G24-011,v2,Хоосон зайг нөхөөрэй: Т_ног бэлэн болсон байна.,Kore,mn-MN,prompt_G24-011-v2.mp3,
G24-011,v3,"Хоосон зайг нөхөөрэй: Сандал м_дон, маш бат бөх.",Kore,mn-MN,prompt_G24-011-v3.mp3,
G24-013,v1,Дараах өгүүлбэрт алдаа байна. Зөв засаарай.,Kore,mn-MN,prompt_G24-013-v1.mp3,
G24-013,v2,Дараах өгүүлбэрт алдаа байна. Зөв засаарай.,Kore,mn-MN,prompt_G24-013-v2.mp3,
G24-013,v3,Дараах өгүүлбэрт алдаа байна. Зөв засаарай.,Kore,mn-MN,prompt_G24-013-v3.mp3,
G24-018,v1,Дараах өгүүлбэрт алдаа байна. Зөв засаарай.,Kore,mn-MN,prompt_G24-018-v1.mp3,
G24-018,v3,Дараах өгүүлбэрт алдаа байна. Зөв засаарай.,Kore,mn-MN,prompt_G24-018-v3.mp3,
G24-022,v1,Дараах өгүүлбэрт алдаа байна. Зөв засаарай.,Kore,mn-MN,prompt_G24-022-v1.mp3,
G24-022,v2,Дараах өгүүлбэрт алдаа байна. Зөв засаарай.,Kore,mn-MN,prompt_G24-022-v2.mp3,
G24-022,v3,Дараах өгүүлбэрт алдаа байна. Зөв засаарай.,Kore,mn-MN,prompt_G24-022-v3.mp3,
G24-024,v1,Дараах өгүүлбэрт алдаа байна. Зөв засаарай.,Kore,mn-MN,prompt_G24-024-v1.mp3,
G24-024,v2,Дараах өгүүлбэрт алдаа байна. Зөв засаарай.,Kore,mn-MN,prompt_G24-024-v2.mp3,
G24-024,v3,Дараах өгүүлбэрт алдаа байна. Зөв засаарай.,Kore,mn-MN,prompt_G24-024-v3.mp3,
