task_id,variant,slot,text,voice,language_code,filename,type
G12-008,v3,dictation,ном [short pause] гал [short pause] багш,Kore,mn-MN,dict_G12-008-v3.wav,TT4_DICTATION
G12-008,v3,prompt,Сонссон үгс болон өгүүлбэрийг бичээрэй.,Kore,mn-MN,prompt_G12-008-v3.wav,TT4_DICTATION
G12-009,v1,prompt,Дараах өгүүлбэрт алдаа байна. Зөв засаарай.,Kore,mn-MN,prompt_G12-009-v1.wav,TT3_CORRECTION
G12-009,v2,prompt,Дараах өгүүлбэрт алдаа байна. Зөв засаарай.,Kore,mn-MN,prompt_G12-009-v2.wav,TT3_CORRECTION
G12-009,v3,prompt,Дараах өгүүлбэрт алдаа байна. Зөв засаарай.,Kore,mn-MN,prompt_G12-009-v3.wav,TT3_CORRECTION
G12-012,v1,prompt,Өмнөх даалгаврын хариугаа загвартай харьцуул.,Kore,mn-MN,prompt_G12-012-v1.wav,TT6_SELF_CHECK
G12-012,v2,prompt,Өмнөх даалгаврын хариугаа загвартай харьцуул.,Kore,mn-MN,prompt_G12-012-v2.wav,TT6_SELF_CHECK
G12-012,v3,prompt,Өмнөх даалгаврын хариугаа загвартай харьцуул.,Kore,mn-MN,prompt_G12-012-v3.wav,TT6_SELF_CHECK
G12-015,v1,prompt,Хоосон зайг нөхөөрэй: Би ___ авлаа.,Kore,mn-MN,prompt_G12-015-v1.wav,TT2_FILL
G12-015,v2,prompt,Хоосон зайг нөхөөрэй: Би ___ байна.,Kore,mn-MN,prompt_G12-015-v2.wav,TT2_FILL
G12-015,v3,prompt,Хоосон зайг нөхөөрэй: Мал ___ байна.,Kore,mn-MN,prompt_G12-015-v3.wav,TT2_FILL
G12-TT3C-001,v1,prompt,Дараах өгүүлбэрийн буруу бичлэгийг олоод засаарай.,Kore,mn-MN,prompt_G12-TT3C-001-v1.wav,TT3_CORRECTION
G12-TT3C-001,v2,prompt,Дараах өгүүлбэрийн буруу бичлэгийг олоод засаарай.,Kore,mn-MN,prompt_G12-TT3C-001-v2.wav,TT3_CORRECTION
